level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,9,1,1,8,1509,2694,131,30,42,varios
5,1,9,1,1,10,1832,2693,67,31,68,ane
5,1,9,1,1,13,2252,2696,47,28,71,bor
5,1,10,1,1,1,228,2750,81,31,60,lata
5,1,10,1,1,3,593,2750,67,31,49,atel
5,1,10,1,1,4,683,2758,130,23,58,remote
5,1,10,1,1,5,832,2750,130,31,42,contral
5,1,11,1,1,1,188,2857,281,35,93,Professional
5,1,11,2,1,1,184,2931,193,38,63,Computer
5,1,11,2,1,3,643,2929,137,31,49,student
5,1,11,2,1,5,996,2929,127,31,48,Botech
5,1,11,2,1,6,1146,2930,30,30,71,in
5,1,11,2,1,8,1284,2929,81,31,78,with
5,1,11,2,1,11,1772,2930,29,30,59,in
5,1,11,2,1,13,2019,2929,87,31,41,(boned
5,1,11,2,2,1,185,2987,65,35,47,Ines
5,1,11,2,2,2,276,2986,67,31,47,ate
5,1,11,2,2,4,554,2986,259,40,45,Development.
5,1,11,2,2,5,857,2986,127,31,81,Proven
5,1,11,2,2,6,1012,2986,93,31,84,track
5,1,11,2,2,8,1272,2989,29,28,58,al
5,1,11,2,2,9,1329,2986,183,36,86,delivering
5,1,11,2,2,11,1723,2986,166,31,67,technical
5,1,11,2,2,13,2124,2986,171,36,37,inelucding
5,1,11,2,3,1,185,3042,94,31,81,three
5,1,11,2,3,4,602,3043,149,39,39,projects
5,1,11,2,3,5,775,3043,68,30,42,ina
5,1,11,2,3,6,865,3042,107,36,39,single
5,1,11,2,3,9,1432,3043,30,30,50,in
5,1,11,2,3,11,1666,3042,175,31,45,hardware
5,1,11,2,3,15,2131,3050,34,21,68,to
5,1,11,2,3,16,2185,3050,114,23,68,create
5,1,12,1,1,3,749,3099,81,31,46,WIPE
5,1,12,1,1,5,966,3110,42,20,84,om
5,1,12,1,1,8,1556,3099,66,31,74,atel
5,1,12,1,1,9,1642,3099,194,31,38,cribeceled
